Item Name,Country,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Liquors and liqueurs 5/,World,"10,679.3","12,100.2","10,178.3","8,479.2","8,988.9","8,084.9","7,392.6","7,194.4","6,814.4","6,626.7","6,433.3","6,067.8","5,767.6","5,223.7","4,809.0","5,055.3","5,063.0","4,520.0","4,100.1","3,720.0","3,442.0","3,104.8","2,849.0","2,726.2","2,382.7"
cocoa and products,Canada,"2,032.2","1,933.0","1,688.4","1,544.5","1,518.7","1,403.1","1,454.5","1,445.8","1,321.0","1,177.5","1,046.1",989.5,940.7,872.4,647.4,758.5,725.9,708.9,712.5,721.7,705.4,525.9,456.2,391.1,346.3
cocoa and products,Cote d'Ivoire,701.9,773.8,"1,002.8",771.8,656.3,733.5,895.3,"1,035.3",913.5,933.4,806.7,731.5,870.5,770.2,635.4,624.7,427.0,463.5,607.4,457.5,403.9,276.0,219.2,238.7,291.2
cocoa and products,Mexico,612.1,624.6,523.2,553.7,571.4,500.9,542.0,521.4,501.5,479.1,499.4,514.9,532.9,454.2,355.2,215.1,146.8,130.8,103.2,89.0,78.3,60.3,39.1,34.0,38.7
cocoa and products,Ghana,265.0,273.0,218.7,195.6,224.9,168.9,224.0,226.3,218.2,190.5,178.2,176.0,269.4,181.9,87.4,15.9,49.6,68.2,29.4,18.6,7.3,24.7,54.5,67.9,39.8
cocoa and products,Malaysia,250.2,229.9,170.7,205.6,197.6,120.7,125.8,128.2,128.8,185.2,133.8,148.2,278.4,307.6,241.9,256.1,121.4,108.3,112.3,110.0,89.9,38.7,47.3,43.5,57.0
cocoa and products,Ecuador,240.1,218.3,236.1,237.6,142.3,136.7,143.4,192.1,310.3,258.0,185.0,132.5,246.9,103.5,184.3,116.9,62.7,35.3,56.6,61.1,57.2,35.8,31.6,32.7,52.9
cocoa and products,Netherlands,235.8,267.7,216.8,171.5,177.5,162.8,196.3,207.3,143.9,167.9,201.9,266.5,297.1,250.0,163.0,131.3,107.2,122.2,133.9,163.1,174.4,123.6,100.8,78.9,77.3
cocoa and products,Rest of world,"1,814.4","1,729.8","1,577.4","1,371.4","1,488.2","1,485.7","1,430.3","1,324.4","1,322.5","1,336.4","1,107.7","1,136.6","1,244.7","1,355.4","1,161.6","1,180.3","1,021.0","1,022.0",995.3,863.4,922.8,675.9,587.2,517.7,619.3
cocoa and products,World,"6,151.7","6,050.1","5,634.1","5,051.7","4,976.9","4,712.3","5,011.6","5,080.8","4,859.7","4,728.0","4,158.8","4,095.7","4,680.6","4,295.2","3,476.2","3,298.8","2,661.6","2,659.2","2,750.6","2,484.4","2,439.2","1,760.9","1,535.9","1,404.5","1,522.5"
